user_id,course_id,course_name,difficulty,rating,interaction_type,timestamp,user_difficulty_pref,implicit_feedback
U0000,176,introduction to negotiation: a strategic playbook for becoming a principled and persuasive negotiator,intermediate,4.9,completed,2024-07-06,intermediate,1
U0000,761,akamai customer consulting and support,intermediate,4.5,completed,2024-07-08,intermediate,1
U0000,583,an introduction to american law,not found,4.9,completed,2024-08-31,intermediate,1
U0000,435,introduction to corporate finance,advanced,4.1,completed,2024-11-02,intermediate,1
U0000,98,business analytics,beginner,3.3,dropped,2024-01-14,intermediate,0
U0000,449,autodesk certified professional: autocad for design and drafting exam prep,beginner,5.0,completed,2024-09-21,intermediate,1
U0000,323,get started with python,intermediate,5.0,completed,2024-09-20,intermediate,1
U0000,137,"html, css, and javascript for web developers",beginner,3.0,dropped,2024-02-19,intermediate,0
U0000,634,"strategic leadership: impact, change, and decision-making",beginner,4.0,completed,2024-11-05,intermediate,0
U0000,56,python for everybody,intermediate,4.5,completed,2024-08-05,intermediate,1
U0000,705,essentials of global health,beginner,3.6,in_progress,2024-09-27,intermediate,0
U0000,915,real-world engineering management,beginner,2.9,in_progress,2024-07-08,intermediate,0
U0000,0,google cybersecurity,beginner,4.2,in_progress,2024-08-04,intermediate,1
U0000,969,investment management in an evolving and volatile world by hec paris and axa investment managers,beginner,3.7,completed,2024-02-10,intermediate,0
U0000,603,"energy production, distribution & safety",not found,3.2,dropped,2024-05-08,intermediate,0
U0000,598,ai applications in marketing and finance,beginner,3.4,in_progress,2024-05-18,intermediate,0
U0000,7,machine learning,beginner,5.0,completed,2024-09-17,intermediate,1
U0001,117,preparing for google cloud certification: cloud devops engineer,beginner,4.2,in_progress,2024-12-24,not found,1
U0001,847,gender analytics: gender equity through inclusive design,beginner,4.7,completed,2024-12-17,not found,1
U0001,612,google cloud big data and machine learning fundamentals,not found,4.1,completed,2024-04-05,not found,0
U0001,329,google ãµã¤ãã¼ã»ã­ã¥ãªãã£,beginner,4.2,completed,2024-01-29,not found,1
U0001,64,it fundamentals for cybersecurity,beginner,4.9,completed,2024-06-08,not found,1
U0001,310,instructional design foundations and applications,not found,5.0,completed,2024-06-18,not found,1
U0001,323,get started with python,intermediate,5.0,completed,2024-05-13,not found,1
U0001,717,ai strategy and governance,beginner,3.9,in_progress,2024-05-07,not found,0
U0001,626,wind energy,beginner,4.6,completed,2024-12-13,not found,1
U0001,868,the science of well-being for teens,beginner,5.0,completed,2024-10-09,not found,0
U0001,469,gamification,beginner,4.6,completed,2024-04-25,not found,1
U0001,121,ciberseguridad de google,beginner,3.1,dropped,2024-11-13,not found,0
U0001,701,introductory c programming,mixed,4.0,completed,2024-06-20,not found,1
U0001,745,supply chain logistics,not found,4.4,completed,2024-06-28,not found,1
U0002,243,system administration and it infrastructure services,intermediate,4.4,completed,2024-01-02,intermediate,1
U0002,237,game theory,mixed,4.2,in_progress,2024-05-05,intermediate,0
U0002,680,rã©ussir le changement,not found,3.5,completed,2024-06-08,intermediate,0
U0002,695,foundations of software testing and validation,beginner,4.9,completed,2024-07-02,intermediate,1
U0002,142,what is data science?,beginner,5.0,completed,2024-09-11,intermediate,1
