user_id,course_id,course_name,difficulty,rating,skill_match_score,interaction_type,timestamp,user_persona,implicit_feedback
U0000,171,generative adversarial networks (gans),beginner,2.1,0.0,dropped,2024-09-30,Business_Learner,0
U0000,671,reporting extra-financier et stratã©gie rse,beginner,4.3,0.357,in_progress,2024-08-29,Business_Learner,1
U0000,503,go beyond the numbers: translate data into insights,mixed,1.8,0.0,dropped,2024-09-20,Business_Learner,0
U0000,359,drug development product management,beginner,1.0,0.143,dropped,2024-07-24,Business_Learner,0
U0000,102,digital product management,beginner,4.4,0.5,completed,2024-02-23,Business_Learner,1
U0000,369,introductory human physiology,intermediate,1.6,0.0,dropped,2024-11-05,Business_Learner,0
U0000,270,scrum master certification,beginner,2.0,0.357,dropped,2024-07-20,Business_Learner,0
U0000,140,attract and engage customers with digital marketing,beginner,4.0,0.214,completed,2024-10-30,Business_Learner,1
U0000,544,security and privacy for big data - part 1,beginner,1.7,0.071,dropped,2024-07-08,Business_Learner,0
U0000,66,meta react native,beginner,2.3,0.0,dropped,2024-07-26,Business_Learner,0
U0000,614,core java,beginner,2.8,0.0,dropped,2024-07-06,Business_Learner,0
U0000,814,ordered data structures,beginner,2.1,0.0,dropped,2024-02-10,Business_Learner,0
U0000,1,google data analytics,beginner,1.0,0.0,dropped,2024-05-15,Business_Learner,0
U0000,863,competitive strategy and organization design,beginner,3.4,0.643,dropped,2024-03-21,Business_Learner,1
U0000,515,sales training for high performing teams,beginner,4.8,0.5,completed,2024-08-18,Business_Learner,1
U0000,512,futures thinking,beginner,3.6,0.357,in_progress,2024-07-19,Business_Learner,1
U0000,4,google digital marketing & e-commerce,beginner,3.0,0.286,dropped,2024-08-03,Business_Learner,0
U0000,29,"devops, cloud, and agile foundations",beginner,1.9,0.0,dropped,2024-06-20,Business_Learner,0
U0000,427,autodesk certified professional: autocad for design and drafting exam prep,beginner,1.9,0.0,dropped,2024-04-10,Business_Learner,0
U0000,322,web applications for everybody,beginner,2.8,0.0,dropped,2024-01-05,Business_Learner,0
